Date,Open,High,Low,Close,Volume
09/27/2019,"5.25","5.45","5.22","5.34","5,550,212"
09/26/2019,"5.19","5.34","5.08","5.28","6,108,539"
09/25/2019,"5.09","5.55","5.08","5.20","12,170,030"
09/24/2019,"5.14","5.50","4.98","5.01","13,147,150"
09/23/2019,"4.68","5.20","4.61","5.02","12,502,860"
09/20/2019,"4.59","4.80","4.50","4.70","11,629,920"
09/19/2019,"4.64","4.67","4.42","4.44","7,868,144"
09/18/2019,"4.33","4.69","4.33","4.60","9,810,294"
09/17/2019,"4.30","4.34","4.13","4.33","6,416,083"
09/16/2019,"4.30","4.47","4.27","4.35","6,761,749"
09/13/2019,"4.62","4.77","4.37","4.41","7,662,184"
09/12/2019,"4.60","4.81","4.43","4.58","8,908,741"
09/11/2019,"4.19","4.95","3.97","4.59","34,005,008"
09/10/2019,"4.87","5.10","4.51","5.09","16,659,189"
09/09/2019,"4.35","4.92","4.35","4.76","14,578,770"
09/06/2019,"4.24","4.36","4.14","4.31","6,701,524"
09/05/2019,"4.08","4.24","4.07","4.23","6,892,086"
09/04/2019,"3.88","4.00","3.85","3.98","4,231,328"
09/03/2019,"3.97","4.07","3.66","3.81","9,044,430"
08/30/2019,"4.26","4.36","3.92","3.97","10,635,940"
08/29/2019,"3.93","4.29","3.75","4.23","13,364,410"
08/28/2019,"3.70","3.97","3.67","3.88","6,449,953"
08/27/2019,"3.87","3.93","3.68","3.70","5,701,244"
08/26/2019,"3.72","4.04","3.65","3.82","10,329,420"
08/23/2019,"3.84","3.90","3.56","3.65","8,675,636"
08/22/2019,"3.97","4.25","3.72","3.87","29,191,471"
08/21/2019,"3.50","3.62","3.44","3.54","6,009,223"
08/20/2019,"3.35","3.46","3.28","3.42","4,260,103"
08/19/2019,"3.37","3.47","3.34","3.38","2,887,605"
08/16/2019,"3.25","3.36","3.21","3.32","3,130,713"
08/15/2019,"3.32","3.41","3.15","3.21","5,888,392"
08/14/2019,"3.39","3.42","3.19","3.32","6,081,927"
08/13/2019,"3.48","3.76","3.47","3.47","4,505,170"
08/12/2019,"3.58","3.62","3.44","3.51","2,677,645"
08/09/2019,"3.83","3.86","3.59","3.59","3,079,375"
08/08/2019,"3.84","3.91","3.77","3.89","2,306,726"
08/07/2019,"3.74","3.85","3.66","3.81","5,856,078"
08/06/2019,"3.73","3.82","3.63","3.81","5,157,443"
08/05/2019,"3.72","3.75","3.58","3.71","5,681,751"
08/02/2019,"3.83","3.89","3.75","3.78","3,594,668"
08/01/2019,"4.02","4.06","3.78","3.84","5,596,508"
07/31/2019,"4.03","4.18","4.00","4.02","5,208,919"
07/30/2019,"4.10","4.13","3.90","4.03","5,271,396"
07/29/2019,"4.02","4.16","4.02","4.12","4,327,121"
07/26/2019,"4.00","4.08","3.96","4.01","3,209,020"
07/25/2019,"4.10","4.32","3.97","3.98","5,789,991"
07/24/2019,"4.08","4.20","4.05","4.08","6,020,613"
07/23/2019,"4.15","4.20","3.98","4.09","7,703,497"
07/22/2019,"4.33","4.40","4.12","4.14","5,488,704"
07/19/2019,"4.22","4.42","4.22","4.32","10,946,500"
